prompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instText.started,instText.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,targetInstr.started,targetInstr.stopped,targetText.started,targetText.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,15.36914541599981,None,['return'],[2.254474957997445],15.36914541599981,None,,,,,,,,,,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
Frog,0,0,0,0,,,,,,,17.67969245799759,None,17.67969245799759,None,19.671440666003036,None,19.671440666003036,None,F_rog,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
Donkey,0,1,1,1,,,,,,,41.82091191600193,None,41.82091191600193,None,43.82146812501014,None,43.82146812501014,None,D_onkey,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
Poodle,0,2,2,2,,,,,,,46.52107408300799,None,46.52107408300799,None,48.52153520799766,None,48.52153520799766,None,P_oodle,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
in,0,3,3,3,,,,,,,51.503698083004565,None,51.503698083004565,None,53.503944833006244,None,53.503944833006244,None,in,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
Titlecase,0,4,4,4,,,,,,,54.686997583004995,None,54.686997583004995,None,56.68712033300835,None,56.68712033300835,None,ase,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
None,0,5,5,5,,,,,,,58.204005999999936,None,58.204005999999936,None,60.20452929100429,None,60.20452929100429,None,T_itlecase,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
None,0,6,6,6,,,,,,,63.63808508300281,None,63.63808508300281,None,65.63801529099874,None,65.63801529099874,None,T_itlecase,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
None,0,7,7,7,,,,,,,69.18729762500152,None,69.18729762500152,None,71.18776945800346,None,71.18776945800346,None,T_itlecase,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
None,0,8,8,8,,,,,,,74.03709737501049,None,74.03709737501049,None,76.03747729099996,None,76.03747729099996,None,T_itlecase,7of9,001,2021_Mar_20_1036,inputText,2021.1.2,60.0411883748883,
