prompt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instText.started,instText.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,targetInstr.started,targetInstr.stopped,targetText.started,targetText.stopped,instr.started,instr.stopped,text.started,text.stopped,typedWord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,15.615195791993756,None,['return'],[0.6669412909977837],15.615195791993756,None,,,,,,,,,,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
Frog,0,0,0,0,,,,,,,16.32094037499337,None,16.32094037499337,None,18.32650099998864,None,18.32650099998864,None,Frod,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
Donkey,0,1,1,1,,,,,,,21.708721124989097,None,21.708721124989097,None,23.70979254199483,None,23.70979254199483,None,D,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
Poodle,0,2,2,2,,,,,,,27.193110916996375,None,27.193110916996375,None,29.209197749994928,None,29.209197749994928,None,P,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
in,0,3,3,3,,,,,,,30.442508457999793,None,30.442508457999793,None,32.44293224999274,None,32.44293224999274,None,out,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
Titlecase,0,4,4,4,,,,,,,34.52581595799711,None,34.52581595799711,None,36.52611370799423,None,36.52611370799423,None,afa,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
None,0,5,5,5,,,,,,,38.57637124999019,None,38.57637124999019,None,40.57651237498794,None,40.57651237498794,None,tat,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
None,0,6,6,6,,,,,,,43.99226449998969,None,43.99226449998969,None,45.99277854200045,None,45.99277854200045,None,Tar,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
None,0,7,7,7,,,,,,,48.492655499998364,None,48.492655499998364,None,50.492394749991945,None,50.492394749991945,None,Titlecase,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
None,0,8,8,8,,,,,,,54.526144874995225,None,54.526144874995225,None,56.52603879199887,None,56.52603879199887,None,Titlecase,Harry,001,2021_Mar_20_1016,inputText,2021.1.2,60.070161950182616,
